大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
秋八月掌奇郡公朱文接自富安入援。	Nhạc dẫn quân về Quy nhơn, để tướng của Đông sơn đã đầu hàng là Đỗ Hàn Trập, Hộ bộ Bá (thiếu họ) giữ Gia định. Tháng 8 mùa thu Chưởng cơ Quận công Châu Văn Tiếp từ Phú yên vào tiếp viện.
閑蟄等敗走。 駕回嘉定。	Bọn Hàn Trập thua chạy.
癸卯呂惠復寇芹篨泝流而上。	Nguyễn vương về Gia định. Năm quý mão (1783) Lữ và Huệ lại cướp Cần giờ đi ngược dòng mà lên.
文接兵潰。	Binh của Châu Văn Tiếp tan rã.
駕幸三埠。	Nguyễn vương chạy đến Tam phụ.
阮黃德殿後爲所獲。	Nguyễn Huỳnh Đức đi đoạn hậu bị bắt.
駕幸崑崙島。	Nguyễn vương chạy ra đảo Côn lôn.
僞駙馬張文多率水兵奄至，會風雨晝晦，西船多蕩覆。	Phò mã Tây sơn Trương Văn Đa dẫn chiến thuyền áp đến gặp gió mưa tối tăm cả ngày, chiến thuyền của Tây sơn phần nhiều lật úp.
御舟復回富國島。	Thuyền của Nguyễn vương lại trở về đảo Phủ quốc.
惠乃還歸仁，使文多守嘉定。	Huệ bèn trở về Quy nhơn, sai Trương Văn Đa giữ Gia định.
甲辰世祖如暹以召會召霜兵至。	Năm giáp thìn Thế tổ (Nguyễn vương) đi Xiêm đem binh của Chiêu Tăng Chiêu Sương đến.
賊望風奔。	Giặc trông thấy từ xa đã bỏ chạy.
敗兵遂次于龍湖。 文多告急。	Binh Tây sơn thua bèn đóng ở Long hồ. Trương Văn Đa báo tin nguy cấp về Quy nhơn.
惠復引兵至，數戰不利，欲引還。	Huệ lại dẫn binh đến, đánh mấy trận bất lợi, muốn dẫn binh về.
有叛臣黎春覺敎惠悉以勁卒伏于涔江之𣒱蔑屬定祥設計誘之。	Có bề tôi bội phản là Lê Xuân Giác dạy Huệ đem hết binh sĩ lực lưỡng mai phục ở Xoài mút thuộc Sầm giang (thuộc Định tường) lập kế dụ địch.
暹兵乘勝直下美湫。	Quân Xiêm thừa thắng xuống thẳng Mỹ tho.
惠水陸掩擊。	Thuỷ quân và lục quân của Huệ đánh úp.
暹兵大敗僅存殘卒數千由上路回。	Binh Xiêm thua to chỉ còn tàn quân vài ngàn do đường trên trở về.
乙巳世祖復如暹，惠畱僞都尉鄧文眞守嘉定而還。	Năm ất tỵ (1785) Thế tổ lại sang Xiêm. Huệ để Đô uý Đặng Văn Châu giữ Gia định mà trở về.
初都城爲鄭兵所據，黄五福旣死以裴世達代鎭。	Trước kia Đô thành Phú xuân bị quân Trịnh chiếm cứ, Hoàng Ngũ Phúc đã chết, (Chúa Trịnh) cho Bùi Thế Đạt vào trấn thay cho.
世達還，又以范吳俅代爲鎭撫。	Thể Đạt được gọi về, (Chúa Trịnh) lại cho Phạm Ngô Cầu làm Trấn phủ.
岳久欲取之而未有其機。	Nhạc từ lâu muốn lấy Đô thành Phú xuân mà chưa có cơ hội.
丙午吳俅使其屬阮孚如往西山覘虛寔。	Năm bính ngọ (1786) Phạm Ngô Cầu sai thuộc viên Nguyễn Phu Như sang Tây sơn xem hư thực.
字如與阮有整素相善。	Phu Như và Nguyễn Hữu Chỉnh vốn giao hảo tốt lành với nhau.
有整問之，爲言可取狀。	Hữu Chỉnh hỏi Phu Như, Phu Như đem tình trạng có thể lấy được Phú xuân mà nói.
有整者黄五福門屬也。	Nguyễn Hữu Chỉnh là môn thuộc của Hoàng Ngũ Phúc.
五福令使于岳。	Ngũ Phúc sai Hữu Chỉnh đi sứ sang Nhạc.
岳頗重之。	Nhạc rất trọng Hữu Chỉnh.
後屬于黃素履素履，黄五福養子也。	Về sau Hữu Chỉnh là thuộc hạ của Hoàng Tố Lý (Tố Lý là con nuôi của Hoàng Ngũ Phúc).
及素履爲三府驕兵所殺，整在乂安聞變，恐見逮，駭挈眷駕海投于岳，爲岳計畫言無不從。	Đến khi Tố Lý bị kiêu binh Tam phủ giết, Hữu Chỉnh tại Nghệ an nghe được tin biến, sợ mình bị bắt, bèn đem gia quyến vượt biển đầu theo Nhạc, bày kế hoạch cho Nhạc chẳng hề không được nghe theo.
及字如來，整以其言進于岳。	Đến khi Phu Như đến, Hữu Chỉnh đem lời của Phu Như dâng lên Nhạc.
於是岳以惠節制水步諸軍，整爲右軍都督，其壻武文仕一作壬爲左軍都督，呂率水軍繼發。	Do đó Nhạc cho Huệ tiết chế các quân thuỷ và bộ, cho Hữu Chỉnh làm Hữu quân Đô đốc, cho con rể là Vũ Văn Sĩ (một tên nữa là Nhậm) làm Tả quân Đô đốc, cho Lữ dẫn thuỷ quân nối theo sau.
五月惠進克之，使呂守之而自率水兵直取北河，飛書回報語見惠傳。	Tháng năm Huệ tiến đến lấy được Đô thành Phú xuân, sai Lữ giữ Phú xuân rồi tự mình dẫn thuỷ quân tiến thẳng lấy Bắc hà, cho mang thơ gấp về báo cho Nhạc biết (xem ở phần Liệt truyện của Huệ).
岳不悅，使人止之，則惠兵船已駕海矣。	Nhạc không vui, sai người ngăn Huệ lại, thì binh thuyền của Huệ đã vượt biển rồi.
及聞惠克昇龍乃大驚，以其擁兵在外非片紙可召，乃率親兵五百人，亟赴富春増揀精銳倍道馳往。	Đến khi nghe Huệ lấy được Thăng long, Nhạc cả kinh cho rằng Huệ cầm binh ở ngoài thì mảnh giấy gởi thơ không thể triệu về được, bèn dẫn thân binh năm trăm người đi gấp đến Phú xuân, tăng thêm quân tinh nhuệ được tuyển chọn đi gấp đường vội ra.
辰黎顯尊已晏駕，太孫黎維祁嗣是爲召統帝聞岳至，率百官郊迎。	Lúc ấy Lê Hiển Tôn đã vừa băng, Thái tôn Lê Duy Kỳ nổi ngôi (ấy là vua Chiêu thống) nghe tin Nhạc đến, dẫn các quan ra đón rước ở ngoài đồng xa.
岳驅兵疾馳，使人致辭改日相見。	Nhạc xua binh đi gấp, sai người thưa lại ngày khác sẽ gặp nhau.
次日召統帝親至岳所。 岳拱立階上，使惠降階迎之。	Hôm sau, vua Chiêu thống thân hành đến chỗ Nhạc ở, Nhạc đứng chấp tay trên bục cấp, sai Huệ xuống bục cấp đón vua Chiêu thống.
岳踞中坐。 召統帝東內，惠西內坐召統帝從容慰謝，請割幾郡邑犒賞將士。	Nhạc ngồi chỗ chính giữa, vua Chiêu thống phía trong hướng đông, Huệ ngồi phía trong hướng tây. Vua Chiêu thống thung dung ủy lạo và cảm tạ, xin cắt đất mấy quận ấp để khao thưởng tướng sĩ.
岳答曰：本以鄭氏專制故爲此尊扶之舉。	Nhạc đáp lời: − Vốn vì họ Trịnh chuyên quyền cho nền mới làm nên việc tôn phù này.
若鄭氏土地一寸不畱。	Nếu là đất của họ Trịnh thì một tấc cũng không chừa lại.
至黎家土地一寸亦不敢取。	Đến như đất của nhà Lê thì một tấc cũng không dám lấy.
惟願嗣皇奮發乾綱，保安宇內，世睦鄰交，此兩國之福也。	Chỉ mong Hoàng thượng nối ngôi phân phát cương lĩnh của thiên tử, giữ yên thiên hạ, đời đời hoà hảo tình lân giao, đó là cái phúc của hai nước vậy.
岳之初至昇隆也，中外疑懼，或有勸召統帝上表乞降者。	Khi Nhạc mới đến Thăng long, người ở trong và ở ngoài nghi ngờ e sợ, hoặc có kẻ khuyên vua Chiêu thống dâng biếu xin đầu hàng.
至是人情始安。	Đến lúc ấy nhân tình mới yên.
畱旬日岳挈惠及將士南還，以海雲以外屬惠爲北平王，嘉定屬呂爲東定王，而自稱中央皇帝。	Lưu lại Thăng long mươi ngày, Nhạc đem Huệ và tướng sĩ về Nam, lấy từ cửa Hải vân ra ngoài cho thuộc về Huệ, phong Huệ làm Bắc bình Vương (Chúa đã dẹp yên đất Bắc), cho Gia định thuộc về Lữ, phong Lữ làm Đông định Vương (Chúa đã dẹp yên đất phía đông) mà tự xưng là Trung ương Hoàng đế.
岳旣得志，日肆淫暴殺阮樁，又淫惠妻。 人皆醜之。	Nhạc đã đắc chi, ngày càng dâm dật hung bạo giết Nguyễn Thung lại loạn dâm với vợ của Huệ, người ta đều xấu hổ cho việc đó.
北侵之役，鄭府貨寳一歸于惠，岳索之不與。	Trong chiến dịch xâm lược Bắc hà, tiền của châu báu trong phủ Chúa Trịnh đều thuộc trọn về Huệ. Nhạc đòi hỏi thì Huệ không cho.
惠欲倂廣南之地，岳亦不與，遂成仇隙。	Huệ muốn lấy đất Quảng nam, Nhạc cũng không cho, bèn thành mối cừu thù hiềm khích.
惠乃傳檄數岳之惡，至以豺狼狗彘目之。	Huệ lại truyền hịch kể những tội ác của Nhạc, đến dùng những chữ sói, chó heo mà gọi lên.
檄文有曰：“罪莫大於弑君，鳥可一朝輕率？	Bài văn trong hịch có câu : "Tội lỗi không gì to hơn việc giết vua, sao lại có thể một sớm mà khinh suất được?
諫不聽則易位，寔關萬世安危。”	Can gián mà không nghe thì đổi ngôi, thật đã quan hệ đến việc an nguy của muôn đời."
僞吏部胡仝所作也。	Đó là quan Lại bộ Hồ Tuyền của Tây sơn làm ra.
岳見之大怒，遂治兵相攻。	Nhạc xem đến thì cả giận, bèn sửa binh đánh nhau với Huệ.
惠自恃勢大引兵直捣歸仁圍之數月。	Huệ tự ỷ thị thế lực mình lớn lao, dẫn quân đánh thẳng vào Quy nhơn, bao vây Quy nhơn trong mấy tháng.
岳堅壁自守。	Nhạc củng cố tường thành tự phòng giữ.
惠築土山，架大礮，彈落城中大如斗。	Huệ đắp núi đất, gác súng đại bác, đạn rớt trong thành to như cái đấu.
岳使人拾之，哭告于僞廟。	Nhạc sai người luộm lấy, khóc mà báo cáo lên tông miếu.
岳將鄧文眞一名鎭自嘉定回援，至富安爲惠所擄。	Đặng Văn Châu (một tên nữa là Trấn), tướng của Nhạc từ Gia định trở về cứu viện, đến Phú yên bị Huệ bắt sống.
岳乃於城上呼惠語之曰：皮鍋煑肉，弟心何忍？	Nhạc bèn ở trên thành gọi Huệ nói: — Nồi da xáo thịt, lòng em sao nhẫn?
相向慟哭，久之乃各解兵講和以板津爲界，廣義以南岳主之，升奠以北惠主之。	Anh em hướng vào nhau mà khóc lớn, hồi lâu mỗi bên giải binh giảng hoà, lấy Bản tân làm ranh giới, từ Quảng nghĩa trở về nam, Nhạc làm chủ, từ đất Thăng đất Điện trở về bắc, Huệ làm chủ.
惠幸臣陳文紀之計也。	Đó là mưu kế của Trần Văn Kỷ, bề tôi yêu chuộng của Huệ.
岳旣與惠有隙，自是內相備不暇南窺矣。	Nhạc đã có hiềm khích với Huệ, từ đó lo phòng bị lẫn nhau không rảnh dòm ngó đến miền Nam.
丁未世祖自暹返斾進抵芹除海口。	Năm đinh vị (1787) Thế tổ từ Xiêm trở về tiến đến cửa biển Cần giờ.
呂退守諒埠屬邊和。	Lữ lùi giữ Lượng bộ (thuộc Biên hoà).
僞太保范文參守柴棍。	Phạm Văn Sâm, quan Thái bảo Tây sơn giữ Sài côn.
我軍攻之不下，乃假作岳密書言參驕橫使呂設計殺之，而詭投參所。	Quân ta (Nguyễn) đánh Sài côn mà không hạ được thành, bèn giả mạo làm mật thư của Nhạc nói Sân kiêu ngạo hoành hành, sai Lữ lập kế giết đi, lại quỷ quyệt đem mật thư đến chỗ Sâm.
參大驚卽詐竪白旗率兵下諒埠。	Sâm cả kinh, dối trá dựng cờ trắng dẫn binh xuống Lượng bộ.
呂疑參已降，遂奔歸仁尋死。	Lữ nghi Sâm đã đầu hàng bèn chạy về Quy nhơn rồi chết.
参後力届投降，復謀叛，坐誅。	Sâm về sau sức cùng đầu hàng, lại mưu làm phản, bị giết.
戊申冬，召統帝引清兵入據昇隆。	Mùa đông năm mậu thân (1788) vua Chiêu thống dẫn quân Tàu (nhà Thanh) vào chiếm đóng Thăng long.
惠稱帝大舉而北，黎主出奔，遂倂有安南之地語見惠傳。	Huệ xưng Hoàng đế cất đại binh ra Bắc, vua Lê Chiêu thống bỏ chạy ra ngoài nước, Huệ bèn chiếm lấy cả đất An nam (nói rõ xem ở phần truyện Huệ).
辰我世祖旣克嘉定，乘勝收復平順平康延慶，聲勢震薄。 岳勢日窮蹙株守歸仁廣義富安而已。	Lúc ấy Thế tổ triều ta (Nguyễn) đã lấy Gia định, thừa thắng thu phục Bình thuận Bình Khang Diên Khánh, thanh thế chấn khởi, còn thể lực của Nhạc ngày thêm cùng quẫn co rút, khốn khổ giữ lấy Quy nhơn Quảng nghĩa Phú yên mà thôi.
壬子秋惠死。	Mùa thu năm nhâm tý (1792) Huệ chết, Quang Toản, con của Huệ lên nối ngôi.
子光纘襲僞位。 岳聞惠死親率僚屬三百餘人與其妹往訃，至廣義界首爲惠屯將阻之。	Nhạc nghe Huệ chết đích thân dẫn quan liêu hơn ba trăm người cùng người em gái đi phó tang, đến đầu ranh giới Quảng nghĩa bị tướng đóng đồn của Huệ ngăn trở.
岳復回歸仁，獨遣其妹往。	Nhạc lại trở về Quy nhơn, sai một mình em gái đi.
癸丑我兵圍逼歸仁城。	Năm quý sửu (1793) binh ta (Nguyễn) vây bức thành Quy nhơn.
岳遣子寳拒之，軍敗潰走。	Nhạc sai con tên Bảo chống cự, quân thua rã chạy.
辰岳已得病馳書富春告急。	Lúc ấy Nhạc đã mắc bịnh, gấp đem thơ ra Phú xuân bảo tin nguy cấp.
纘遣僞太尉范公興，護駕院文訓，大司隸黎忠，大司馬吳文楚等率步兵萬七千，象八十匹，大統領鄧文眞率舟師三十餘艘分五道入援。	Toản sai bọn Thái uý Phạm Công Hưng, Hộ giá Nguyễn Văn Huấn, Đại Tư lệ Lê Trung, Đại Tư mã Ngô Văn Sở dẫn bộ binh một vạn bảy ngàn người (17.000), voi tám mươi thớt (80), sai Tướng lãnh Đặng Văn Châu dẫn chiến thuyền hơn ba mươi chiếc chia ra năm đường vào tiếp viện.
我師解圍還。	Quân ta mở vây trở về.
興等入歸仁城。	Bọn Hưng vào thành Quy nhơn.
岳以金銀各一盤犒師。	Nhạc lấy vàng bạc mỗi thứ một mâm khao quân.
興乃籍府庫收甲兵而據其城。	Hưng bèn tịch biên phủ khố thu lấy binh giáp mà chiếm thành.
岳憤恚嘔血死僭位十六年。	Nhạc phẫn uất hộc máu chết (ở ngôi bất chánh được 16 năm).
纘封岳子寳為孝公，割符籬一縣爲食邑，號曰小朝。	Toản phong cho Bảo, con của Nhạc làm Hiếu công, cắt một huyện Phù ly cho làm thực ấp, gọi là Tiểu triều.
其母激之曰：開拓土宇皆汝父功也。	Mẹ của Bảo nói khích với Bảo rằng: Mở mang bờ cõi đều là công của cha mầy cả.
今但食一縣與其受辱，母寧死。	Nay mày chỉ ăn hoa lợi thuế má có một huyện và chịu họ làm nhục, thì mẹ thà chết.
興尋以病回富春，僞侍中參議裴得宙太師裴得宣之子與阮文訓黎忠相繼畱守名爲輔寳，其寔陰制之也。	Hưng rồi lại vì bịnh trở về Phú xuân.
	Bùi Đắc Trụ, quan Thị trung Tham nghị của Tây sơn (con của quan Thái sư Bùi Đắc Tuyên) cùng Nguyễn Văn Huấn Lê Trung nối nhau ở lại trấn giữ, tiếng là giúp Bảo, sự thật là kềm chế Bảo.
寳旣爲纘削奪又爲忠等脅制，心甚不平。	Bảo đã bị Toản tước đoạt hết quyền binh, lại bị bọn Trung hiếp chế, lòng rất bất bình.
丁巳夏我世祖親董舟師入施耐海口，攻之不下遂進次廣南沱㶞汛，令人密諭寳曰：今我兵進取廣南，次取歸仁。	Mùa hạ năm đinh tỵ (1797) Thế tổ triều ta (Nguyễn) đích thân đốc suất chiến thuyền vào cửa biển Thi nại đánh phá mà không hạ được bèn tiến đến đóng ở bến Đà nẵng thuộc Quảng nam, sai người bí mật khuyên Bảo: “Nay binh ta tiến lấy Quảng nam, kế lấy Quy nhơn."
