会子盐上会子、交子之法盖有取于唐之飞钱。	Pháp trao đổi tiền muối và tiền giao dịch của hội tử có nguồn gốc từ tiền bay thời Đường.
喜定三年春制、总司收换九十一界二千九百馀万缗；其千二百万缗以茶马司羡馀钱及制司空名官告总所桩金银、度牒对凿馀以九十三界钱引收兑；又造九十四界钱引五百万缗以收前宣抚程松所增之数；凡民间输者每引百贴八千。	Năm thứ ba triều đại Hỷ Định, vào mùa xuân, tổng tư lệnh đã thu đổi 91 giới, tổng cộng hơn 29 triệu văn tiền, trong đó 12 triệu văn tiền được sử dụng để trao đổi với Ty trà mã và số tiền còn lại được thông báo cho các quan chức. Vàng bạc được ghi chép cẩn thận, và lại tạo ra 94 giới tiền tệ với 5 triệu văn tiền để thu hồi số lượng đã tăng thêm từ chương trình an dân của Trình Tùng. Tổng cộng, mỗi người dân khi nộp thuế sẽ nhận được 8.000 tờ cho mỗi 100 tờ.
其金银品搭率用新引七分金银三分其金银品色官称不无少亏每旧引百贴纳二十引。	Về phẩm chất vàng bạc, tỷ lệ sử dụng mới là bảy phần vàng bạc, ba phần phẩm sắc vàng bạc, quan chức gọi là không có chút thiếu sót nào. Mỗi lần cũ, một trăm tờ nộp hai mươi tờ.
盖自元年、三年两收旧引而引直遂复如故。	Kể từ năm thứ ba của triều đại Nguyên, hai lần thu hồi những điều cũ và khôi phục lại như trước.
昔高宗因论四川交子最善沉该称提之说谓官中常有钱百万缗如交子价减官用饯买之方得无弊。	Ngày xưa, Cao Tông vì luận về tiền giấy Tứ Xuyên, cho rằng việc sử dụng chúng rất tốt, nên đã đề xuất rằng trong triều đình thường có tiền triệu như tiền giấy, nếu giá trị giảm thì việc mua sắm của triều đình mới không bị sai lệch.
九年四川安抚制置大使司言：「川引每界旧例三年一易。	Chín năm, Sở Giang an phu chế trí đại sứ ty nói rằng, mỗi giới của Giang đều theo lệ cũ ba năm một lần thay đổi.
自开禧军兴以后用度不给展年收兑遂至两界、三界通使；然率以三年界满方出令展界以致民听惶惑。	Kể từ khi quân khai hỷ khởi phát, việc chi tiêu không đủ, dẫn đến việc thu hồi không kịp, cuối cùng khiến cho hai giới và ba giới giao tiếp với nhau, nhưng chỉ đến khi ba năm giới mãn mới ban lệnh mở giới, khiến dân chúng hoang mang lo sợ.
今欲以十年为一界著为定令则民旅不复怀疑」。	Nay muốn lấy mười năm làm một giới hạn, lập ra quy định để dân chúng không còn nghi ngờ.
从之。台臣奏：「川引、银会之弊皆因自印自用有出无收。	Theo đó Các quan lại triều đình trình bày rằng việc rút bạc từ sông chỉ có hại do tự in ấn và sử dụng, có ra mà không có vào.
今当拘其印造之权归之朝廷仿十八界会子造四川会子视淳佑之令作七百七十陌于四川州县公私行使。	Hiện nay, quyền chế tạo ấn tín phải thuộc về triều đình, theo như lệnh của Chân Dụ, giống như việc chế tạo hội tử ở Tứ Xuyên, thực hiện 770 con đường cho công và tư tại các huyện trong tỉnh Tứ Xuyên.
两料川引并毁见在银会姑存。	Hai dòng nước chảy gặp nhau, hủy hoại hiện hữu trong hội bạc của cô gái.
旧引既清新会有限则楮价不损。	Cổ điển đã tươi mới, hội hạn thì giá giấy không giảm.
物价自平公私俱便矣」。	Giá cả tự nhiên ổn định, công tư đều thuận lợi.
有旨从之。复以会板发下成都运司掌之从制司抄纸发往运司印造毕功发回制司用总所印行使岁以五百万为额。	Có chỉ dụ theo đó Lại sai bộ phận vận chuyển tại Thành Đô quản lý việc phát hành giấy tờ từ bộ chế tạo, sau khi in xong sẽ gửi lại cho bộ chế tạo sử dụng, tổng số in ấn mỗi năm là năm triệu.
绍兴末会子未有两淮、湖广之分其后会子太多而本钱不足遂致有弊。	Cuối thời Tống, chưa có sự phân chia giữa hai vùng Hoài và Hồ Quảng, về sau số lượng hội tử quá nhiều mà vốn liếng lại không đủ, do đó dẫn đến những điều bất lợi.
诏别印二百、三百、五百、一贯交子三百万止行使于两淮其旧会听对易。	Chiếu lệnh về việc phát hành hai trăm, ba trăm, năm trăm đồng tiền giao dịch, tổng cộng ba triệu, chỉ được sử dụng tại hai vùng Hoài, theo quy định cũ sẽ tiếp tục cho phép trao đổi.
凡入输买卖并以交子及钱中半。	Tất cả những giao dịch mua bán đều phải dùng giấy giao và tiền tệ một nửa.
如往来不使诏给交子、会子各二十万付镇江、建康府榷货务使淮人之过江、江南人之渡淮者皆得对易循环以用。	Nếu không có lệnh, thì không cho phép giao tiền giấy cho mỗi người ở Giang Tô và Giang Nam, mỗi người hai mươi vạn. Phải giao cho các quan chức ở Trấn Giang và Kiến Khương để quản lý hàng hóa. Những người từ phía Bắc qua sông, những người từ Giang Nam qua sông đều được phép đổi chác và luân chuyển để sử dụng.
然自绍兴末年铜钱禁用于淮而易以铁钱会子既用于淮而易以交子于是商贾不行淮民以困。	Từ cuối triều đại Thiệu Hưng, tiền đồng bị cấm sử dụng ở Hoài, thay vào đó là tiền sắt. Tiền giấy đã được sử dụng ở Hoài, và do đó, thương nhân không thể hoạt động, khiến dân chúng Hoài gặp khó khăn.
右司谏言交子不便诏两淮郡守、漕臣调其利害皆谓所降交子数多而铜钱并会子不过江是致民旅未便。	Quyền Tư Giám nói rằng việc phát hành tiền giao không thuận lợi, lệnh cho hai quận Hoài điều chỉnh lợi hại, tất cả đều cho rằng số tiền giao phát ra quá nhiều, trong khi tiền đồng chỉ qua sông không đủ, điều này khiến cho dân chúng gặp khó khăn.
于是诏铜钱并会子依旧过江行用民间交子许作见钱输官凡官交尽数输行在左藏库。	Vậy nên, sắc lệnh ban hành tiền đồng và giấy giao dịch vẫn tiếp tục qua sông, cho phép dân gian sử dụng giấy giao để nộp tiền cho quan, tất cả số tiền giao nộp đều phải chuyển vào kho lưu trữ bên trái.
三年诏造新交子一百三十万付淮南漕司分给州军对换行使不限以年；其运司见储交子先付南库交收。	Trong ba năm, ban chiếu chế tạo một trăm ba mươi vạn giao tử mới, giao cho Ty Tài chính Hoài Nam phân phát cho quân đội các châu, việc đổi chác không hạn chế theo năm, việc vận chuyển phải nộp giao tử trước cho kho Nam để giao nhận.
诏新造交子三百万贯以二百万付淮东一百万付淮西每贯准铁钱七百七十文足以三年为界。	Sắc chỉ chế tạo mới ba triệu giao tử, trong đó hai triệu giao cho phía Đông Hoài, một triệu giao cho phía Tây Hoài, mỗi giao tương đương với bảy trăm bảy mươi văn tiền sắt, đủ dùng trong ba năm.
诏两淮第二界会子限满明年六月更展一界。	Chiếu về giới hạn thứ hai của hai Hoài, khi hết hạn vào tháng Sáu năm sau sẽ tiếp tục gia hạn một giới hạn mới.
造两淮交子二百万增印三百万。	Tạo ra hai triệu giao tử ở hai Hoài, tăng thêm ba triệu bản in.
十三年印二百万增印一百五十万。	Năm thứ mười ba in hai triệu, tăng thêm một trăm năm mươi ngàn.
十四年、十五年皆及三百万。	Năm mười bốn, năm mười lăm đều đạt ba triệu.
自是其数日增价亦日损称提无术但屡与展界而已。	Từ đó, giá cả ngày càng tăng, nhưng cũng ngày càng giảm, không có phương pháp nào để điều chỉnh, chỉ thường xuyên giao tiếp với thế giới mà thôi.
初襄、郢等处大军支请以钱银品搭。	Lần đầu tiên, quân đội lớn tại các nơi như Tương, Nguyên yêu cầu cung cấp tiền bạc và hàng hóa.
孝宗始措置于大军库储见钱印造五百并一贯直便会子发赴军前并当见钱流转。	Hiếu Tông bắt đầu thiết lập trong kho quân sự lớn, dự trữ tiền bạc để in 500 đồng và một lượng tiền, sau đó sẽ phát cho quân đội, và sẽ thấy tiền lưu thông.
印造之权既专印造之数日益；且总所所给止行于本路而荆南水陆要冲商贾必由之地流通不便。	Quyền in ấn đã được tập trung, số lượng in ấn ngày càng gia tăng, và tất cả những gì được cấp phát chỉ lưu hành trên con đường này. Trong khi đó, vùng Giang Nam, nơi giao thương thủy bộ quan trọng, lại gặp khó khăn trong việc lưu thông.
收其会子印板。四年以淮西总所关子二十万都茶场钞引八十万付湖北漕司收换输左藏库又命降银钱收之。	Thu thập ấn bản của hội tử Năm thứ tư, tổng sở Quản Tử ở phía Tây Hoài, đã phát hành hai trăm ngàn lượng tiền trà, và tám trăm ngàn lượng được giao cho Cục Tàu Hồ Bắc để thu đổi, chuyển vào kho trái bên trái, lại ra lệnh thu nhận tiền bạc.
五年诏户部给行在所会子五十万付荆南府兑换。	Năm thứ năm, chiếu lệnh Bộ Hộ cấp cho hành tại sở số tiền năm trăm ngàn để đổi lấy tại Giang Nam phủ.
诏会子库先造会子一百万降付湖广总所收换破会。	Chiếu lệnh tạo ra một triệu đồng tiền để giao cho Tổng sở Hồ Quảng đổi lấy tiền bị hỏng.
十一年臣僚言：「湖北会子创于隆兴初迄今二十二年不曾兑易称提不行」。	Mười một năm, các quan viên nói rằng hội con cái Hồ Bắc được thành lập từ đầu triều Long Hưng, đến nay đã hai mươi hai năm mà chưa từng thay đổi, không được gọi là đề xuất, không được thực hiện.
诏湖广总领同帅、漕议经久利便。	Chiếu dụ Tổng lãnh Hồ Quảng cùng các tướng bàn luận về việc khai thác lâu dài và tiện lợi.
帅、漕、总领言：「乞印给一贯、五百例湖北会子二百万贯收换旧会庶几流转通快经久可行」。从之。	Đại tướng quân xin cấp ấn để đổi lấy năm trăm lạng bạc H湖北, hai triệu lạng bạc cũ, nhằm lưu thông nhanh chóng và bền vững.
十三年诏湖广会子仍以三年为界。	Theo đó Năm thứ mười ba, chiếu chỉ về Hồ Quảng, lại lấy ba năm làm giới hạn.
诏湖广总所将见行及桩贮新旧会取数仿行在例立界收换。	Chiếu rằng Tổng sở Hồ Quảng sẽ tiến hành việc thu thập số liệu mới cũ theo quy định đã lập.
饷臣梁总奏：「自来不曾立界但破损者即行换易除累易外尚有五百四十馀万见在民间行用。	Bẩm tấu của Tổng quản Lương, từ trước đến nay chưa từng lập biên giới, nhưng những vật hư hỏng thì sẽ được thay thế ngay lập tức. Ngoài ra, còn có hơn năm trăm bốn mươi vạn đang lưu hành trong dân gian.
乞别样制作两界印造收换」。从之。湖广饷臣王釜请以度牒、茶引兑第五界旧会每度牒一道价千五百缗又贴搭茶引一千五百缗方许收买期以一月。	Xin làm một ấn tín hai giới để thu đổi Theo đó Hồ Quảng đã thỉnh cầu quan viên Vương Phủ cho phép sử dụng giấy phép trà để đổi lấy hàng hóa trong kỳ hội cũ, mỗi giấy phép trà có giá một ngàn năm trăm đồng, lại thêm một ngàn năm trăm đồng cho giấy phép trà, mới được phép thu mua trong thời hạn một tháng.
然京湖二十一州止置三场不便。	Thế nhưng, hồ Bắc Kinh chỉ đặt ba bến, thật không tiện lợi.
制臣乃会总所以第六界新会五万缗令军民以旧楮二而易其一；继又令军民以一楮半而易其一；又请于朝添给新楮十万军民赖之。	Chế thần đã hội họp để tổng hợp, vì vậy đã ban hành lệnh cho quân dân đổi hai tờ giấy cũ lấy một tờ mới, tiếp theo lại ra lệnh cho quân dân đổi một tờ rưỡi lấy một tờ mới, và xin triều đình cấp thêm mười vạn tờ giấy mới, quân dân nhờ đó mà sống.
十四年造湖广会子三十万易破会。	Mười bốn năm tạo hồ Quảng hội, ba mươi vạn dễ bị phá hủy.
十七年造湖广第六界会子二百万。	Năm thứ mười bảy, xây dựng Hồ Quảng, giới thứ sáu, hội tử hai triệu.
