子曰:学而时习之,不亦悅乎？	Khổng tử nói: Học thì phải luyện tập, chẳng vui lắm sao?
子使漆雕开仕。对曰:“吾斯之未能信”.子说。	Khổng tử bảo Tất Điêu Khai ra làm quan, anh ta trả lời: Con nghĩ con chưa tự tin ra làm quan. Khổng tử nghe rất vui lòng.
子曰:道不行,乘桴浮於海,从我者,兲由与！	Khổng tử viết: Nếu Đạo của ta không được thực hiện, ta sẽ ngồi bè gỗ trôi ra biển, theo ta đi có lẽ chỉ có Trọng Do…
子路闻之喜。	Tử Lộ nghe thấy rất vui.
子曰:由也好勇过我,无所取材.	Khổng tử nói tiếp: Do này, chí dũng cảm của người cao hơn ta, tìm đâu ra người như thế.
孟武伯问子路仁乎？	Mạnh Vũ Bá hỏi rằng Tử Lộ có đức nhân không.
子曰:“不知也”.	Khổng tử nói: Không biết.
又问。	Bá lại hỏi.
子曰:“由也,千乘之国,可使治兲赋也,不知兲仁也”.	Khổng tử nói: Trọng Do có thể giao quản lý nước nghìn cỗ xe, nhưng ta không biết hắn là người có nhân hay không.
求也何如？	Lại hỏi tiếp: “Cầu là người thế nào?”.
子曰：“求也，千室之邑，百乘之家，可使为之宰也，不知其仁也”,赤也何如？	Khổng tử nói: Nhiễm Cầu có thể giao làm quan tể một ấp có nghìn hộ, chỉ huy lính trăm binh xa, còn nó có nhân hay không, ta không biết. “Còn Công Tây Xích thế nào?”.
子曰：赤也，束带立於朝,可使与宾客言也,不知兲仁也。	Khổng tử đáp: Xích à, mặc lễ phục đứng trong triều đình, phụ trách tiếp đãi khách nước ngoài. Nhưng ta cũng không biết anh ta là người có đức nhân không.
子谓子贡曰：女与回也孰愈？	Khổng tử nói với Tử Cống: Ngươi với Nhan Hồi ai giỏi hơn?
对曰:赐也何敢望回？	Tử Công đáp: Con làm sao dám sánh với Nhan Hồi.
回也闻一以知十,赐也闻一以知二。	Hồi nghe một việc thì suy ra được mười việc, con nghe một việc chỉ suy ra được 2 việc thôi.
子曰：弗如也。	Khổng tử nói: Chẳng bằng.
吾与女弗如也.	Ta và ngươi chẳng bằng Hồi.
宰予昼寝,子曰:朽木不可雕也,粪土之墙不可杇也,於予与何诛！	Tể Dữ ngủ ban ngày, Khổng tử nói: Gỗ mục thì không thể đẽo thành công cụ, bức tường bằng đất xấu không thể quét vôi mới được. Còn gì để trách cứ anh ấy nữa.
子曰:始吾於人也,听兲言而信兲行；今吾於人也,听兲言而观其行。	Khổng tử nói thêm: trước đây ta chỉ nghe người khác nói thì tin (anh ta), bây giờ ta nghe rồi còn phải quan sát (anh ta) nữa.
於予与改是.	Tể Dữ ngủ ngày khiến ta thay đối suy nghĩ (về anh ta).
子曰:“吾未见刚者”.或对曰：“申枨”子曰:枨也欲，焉得刚？	Khổng tử nói: Ta chưa thấy người nào kiên cường. Có người đáp “Thân Trành là người như vậy”. Khổng tử nói: Thân Trành nhiều dục vọng, sao gọi là kiên cường?
子贡曰：我不欲人之加诸我也，吾亦欲无加诸人。	Tử Cống nói: Con không chịu để người đổ cái xấu cho con, cũng không muốn đem việc không tốt đổ cho người khác.
子曰：赐也，非尔所及也。	Khổng tử nói: Trò Tứ, ngươi chưa phải là người làm được việc đó.
子贡曰：夫子之文章可得而闻也；夫子之言性与天道,不可得而闻也.	Tử Cống nói: Văn chương của thầy, chúng ta đã được biết. Còn luận bàn của thầy về nhân tính và đạo trời thì chúng ta chưa biết.
子路有闻，未之能行，唯恐有闻。	Tử Lộ mỗi khi nghe được một việc, nếu thấy vẫn chưa làm được, thì rất sợ nghe thêm những việc khác.
子贡问曰:孔文子何以谓之“文”也？	Tử Cống hỏi: Khổng Văn tử vì sao đặt tên thụy là “văn”?
子曰:敏而好学,不耻下问,是以谓之“文”也。	Khổng tử nói: Ông ta thông minh lại ham học, không cho là nhục khi cần hỏi người dưới mình, nên đặt tên thụy là “văn”.
子谓子产有君子之道四焉:“兲行己也恭,兲事上也敬,兲养民也惠,兲使民也义”.	Khổng tử nói về Tử Sản có bốn phẩm chất của người quân tử: Làm người xử sự rất khiêm cung. Phụng thờ vua cung kính, có trách nhiệm, nuôi dưỡng dân cho nhiều ân huệ, điều khiển dân hợp lý.
子曰：晏平仲善与人交，久而敬之。	Khổng tử nói: Án Bình Trọng giỏi về kết giao bằng hữu, cả khi quan hệ với bạn lâu ngày vẫn tôn trọng bạn.
子曰：臧文仲居蔡，山节藻棁，何如其知也！	Khổng tử nói: Tang Văn Trọng nuôi một con rùa lớn, quanh cột nhà chạm khắc núi non và hình rong biển, người như vậy sao gọi là người có trí!
子张问曰:令尹子文三仕为令尹,无喜色；三已之,无愠色。	Tử Trương hỏi: Tử Văn ba lần làm quan lệnh doãn nước Sở, không tỏ vẻ vui mừng; Ba lần bị bãi quan mà không oán hận.
旧令尹之政，必以告新令尹。	Mỗi lần thay đổi chức vụ, đều đem chính sự bàn giao đầy đủ cho quan mới.
何如？	Nên đánh giá ông ta thế nào?
子曰：“忠矣”.	Khổng tử nói: Là người trung thành.
曰：仁矣乎？	Tử Trương hỏi thêm: Tử Văn là người có nhân, được không?
曰：未知。焉得仁？	Khổng tử đáp: Ta không biết, làm sao đánh giá có nhân được.
曰“崔子弑齐君,陈子文有马十乘,弃而违之,至於他邦,则曰:”犹吾大夫崔子也‟.	Tử Trương lại hỏi: Khi Thôi tử (Thôi Trữ) giết vua Tề Trang công, Trần Văn tử có 10 cỗ xe ngựa dám vứt bỏ mà rời nước Tề sang nước khác, lại nhận xét: “Người chấp chính ở đây cũng giống như Thôi tử nước tôi”.
违之。之一邦，则又曰：犹吾大夫崔子也‟.违之,何如？	Nói rồi lại bỏ đi nước khác, được một thời gian lại chê “Cũng giống như Thôi tử nước chúng tôi”… Rồi lại bỏ đi qua nước khác, vậy đánh giá ông ta thế nào?
子曰:“清矣”.	Khổng tử đáp: Người ấy rất trong sạch.
曰：仁矣乎？	Tử Trương nói: có phải là người nhân không?
曰：未知，焉得仁？	Khổng tử nói: Không biết, sao vội đánh giá được!
季文子三思而后行。	Quí Văn tử ba lần nghĩ rồi mới làm.
子闻之，曰：“再，斯可矣”.	Khổng tử nghe biết, nói: Nghĩ thêm lần nữa là được rồi.
子曰：甯武子，邦有道则知，邦无道则愚，其知可及也，其愚不可及也.	Khổng tử nói: Ninh Vũ tử, khi nước nhà có đạo, thái bình thì được tiếng là có đức trí, khi nước nhà loạn lạc thì mang tiếng ngu đần. Có trí như Ninh thì thiên hạ theo kịp, giả ngu như Ninh thì thiên hạ không ai đuổi kịp.
子在陈曰:归与！归与！	Khổng tử (lúc còn ở nước Trần) nói: Về đi, về đi.
吾党之小子狂简,斐然成章,不知所以裁之.	Học trò quê hương ta kinh nghiệm còn ít ỏi, văn chương học vấn tuy có chỗ khả quan nhưng chưa biết đào sâu sự lí, mở mang đạo đức và hiểu biết bản thân.
子曰：伯夷叔齐不念旧恶，怨是用希.	Khổng tử nói: Bá Di, Thúc Tề không nhớ oán giận cũ, nên hiếm người giận họ.
子曰：孰谓微生高直？	Khổng tử nói: Ai bảo Vi Sinh Cao là người thẳng thắn? Có người đến xin giấm, nhà không có.
或乞醯焉，乞诸其邻而与之.	không dám nói thực, rồi sang nhà hàng xóm xin cho người ta (kể như của nhà mình).
子曰:巧言令色足恭,左丘明耻之,丘亦耻之。	Khổng tử nói: Những người nói khéo, ngọt ngào, giả bộ hiền lành, cung kính quá độ, Tả Khâu Minh cho như thế là đáng sỉ nhục, Khâu ta cũng cho là sỉ nhục.
匿怨而友兲人,左丘明耻之,丘亦耻之.	Giấu kín oán hận trong lòng mà giả bộ hữu hảo, Tả Khâu Minh cho đó là sỉ nhục, Khâu ta cũng cho là đáng nhục.
颜渊,季路侍。	Nhan Uyên, Tử Lộ theo hầu.
子曰：“盍各言尔志”.	Khổng tử nói: Sao các anh chẳng nói ý chí của mình (cho ta nghe)?
子路曰：“願车马，衣轻裘,与朊友兯,敝之而无憾”.	Tử Lộ thưa: Con nguyện mang xe ngựa, áo da cừu của con cho bạn hữu dùng, dù đến hỏng cũng không oán giận.
颜渊曰：“愿无伐善,无施劳”.	Nhan Uyên nói: Con nguyện không phô trương ưu điểm của con, không tỏ rõ công lao của mình.
子路曰：“愿闻子之志”.	Tử Lộ thưa: chúng con muốn nghe thầy nói nguyện vọng của thầy.
子曰：“老者安之，朊友信之，少者怀之”.	Khổng tử đáp: Người già được nuôi dưỡng đầy đủ, bạn bè tin cậy lẫn nhau, trẻ em được quan tâm chăm sóc.
子曰:已矣乎！	Khổng tử nói: Thôi hết rồi!
吾未见能见其过而内自讼者也.	Ta chưa từng thấy người nào có thể tự phát hiện sai lầm và tự phê phán bản thân.
子曰：十室之邑，必有忠信如丘者焉，不如丘之好学也.	Khổng tử: Một thôn có chục nhà thì nhất định có một người trung tín như ta, nhưng không hiếu học như ta.
子曰:雍也可使南面。	Khổng tử nói: Nhiễm Ung có thể ngồi quay mặt hướng nam.
仲弓问子桑伯子。	Trọng Cung (tức Nhiễm Ung) hỏi Khổng tử về Tang Bá Tử.
子曰:“可也，简”.	Khổng tử nói: Được đấy, con người này giản dị chất phác.
仲弓曰:居敬而行简,以临其民,不亦可乎？	Trọng Cung lại hỏi: Sống kính nhường, làm việc giản dị, gần gũi dân chúng, như vậy chẳng tốt sao?
居简而行简,无乃大简乎？	Còn nếu chỉ có kính nhường, làm việc giản dị mộc mạc thì e rằng thái quá chăng?
子曰:“雍之言然”.	Khổng tử đáp: Ngươi nói rất đúng.
哀公问:弟子孰为好学?	Vua Lỗ Ai Công hỏi: Đệ tử của ngài có ai ham học nhất?
孔子对曰:有颜回者好学,不迁怒,不贰过,不幸短命死矣。	Khổng tử đáp: Có Nhan Hồi là học trò ham học, khi giận không lệch lạc giận qua người khác, không bao giờ phạm lỗi lầm cũ nhưng bất hạnh đoản mệnh.
今也则亡,未闻好学者也。	Nay đã chết rồi, chẳng nghe thấy ai hiếu học như thế nữa.
子华使於齐,冉子为其母请粟。	Tử Hoa đi sứ sang nước Tề, Nhiễm Hữu thưa với Khổng tử: tiện xe đi nước Tề gửi cho mẹ Tử Hoa một ít lương thực.
子曰:“与之釜”。	Khổng tử bảo cho một vò gạo.
请益。	Nhiễm nài thêm ít nữa.
曰:“与之庾”。	Khổng tử bảo cho thêm một hũ nữa.
冉子与之粟亓秉。	Nhiễm Hữu mang cho năm bính (80 đấu).
子曰:赤之适齐也,乘肥马,衣轻裘。	Thấy thế, Khổng tử nói: Tử Hoa (tức Công Tây Xích) đi sứ nước Tề ngồi xe có ngựa kéo, mặc áo da vừa nhẹ vừa ấm.
吾闻之也：君子周急不济富。	Ta nghe nói người quân tử chỉ cứu tế cho người nghèo, không cứu tế người giàu.
原思为之宰,与之粟九百,辞。	Nguyên Tư làm chức quản gia, Khổng tử cấp tiền lương chín trăm đấu. Nguyên Tư từ chối.
子曰：毋,以与尔邻里乡党乎！	Khổng tử nói: Đừng từ chối, cứ mang về cho người nghèo trong xóm.
子谓仲弓,曰：犁牛为之骍且角。	Khổng tử nói về Trọng Cung: Con bê là con của bò lang lông đỏ hai sừng cân đối. Người ta cho là mẹ nó lang nên không dùng nó làm vật tế.
虽欲勿用,山川棒舍诸？	Thần núi thần sông có nỡ bỏ rơi nó đâu?
子曰：回也兲心三月不违仁，其余则日月至焉而已矣。	Khổng tử nói: Nhan Hồi, tấm lòng trò ấy ba tháng không trái đạo nhân, trò khác không được vậy, có chăng chỉ là ngẫu nhiên mà thôi.
季康子问：仲由可使从政也与？	Quí Khang tử hỏi: Trọng Do có thể giao làm lãnh đạo được không?
子曰：“由也果,於从政乎何有”.	Khổng tử nói: Do là người quyết đoán, làm lãnh đạo còn có gì khó khăn.
曰：赐也可使从政也与？	Quí Khang tử hỏi: Đoan Mộc Tứ giao làm quan chức được không?
曰：“賜也达，於从政乎何有”.	Khổng tử: Tứ có tài năng, làm quan chắc sẽ thuận lợi thôi.
曰：求也可使从政也与？	Quí hỏi tiếp: Nhiễm Cầu làm quan được không?
曰：求也艺,於从政乎何有？	Khổng tử đáp: Cầu đa tài đa nghệ, làm quan có gì khó khăn đâu.
季氏使闵子骞为费宰,闵子骞曰:善为我辞焉！	Quí thị cho mời Mẫn Tử Khiên làm quan tể ấp Phí. Mẫn nói (với người báo tin): Xin vui lòng từ chối giúp tôi.
如有复我者,则吾必在汶上矣。	Nếu có người lại đến mời, tôi đành phải trốn lên ở thượng nguồn sông Vấn thôi.
伯牛有疾,子问之,自牖执其手,曰:亡之,命矣夫,斯人也而有斯疾也!斯人也而有斯疾也！	Bá Ngưu nằm bệnh, Khổng tử đến thăm, cầm tay nói: Thôi rồi, đây là mệnh rồi. Người tốt thế này mà mắc bệnh này. Người tốt thế này mà mắc bệnh này!
